title,author,community,url,score
A woman’s uterus has been kept alive outside the body for the first time [CW: medical gore],artifex,science,https://piefed.social/c/science/p/1927865/a-womans-uterus-has-been-kept-alive-outside-the-body-for-the-first-time,203
‘Gaslit by doctors’: UK women with endometriosis told it is ‘all in their head’,MicroWave,health,https://lemmy.world/post/11006005,165
‘Gaslit by doctors’: UK women with endometriosis told it is ‘all in their head’,BrikoX,globalnews,https://lemmy.zip/post/8733685,163
Women’s pain is often not believed – here’s how to make your voice heard when seeking help,Springtime,women,https://lemmy.world/post/4932835,118
I wore a skirt today!,EggInDisguise,mtf,https://lemmy.blahaj.zone/post/41208582,113
"Menopause, menstrual cups, vulva, endometriosis, abortion, and UTI aren’t bad words… - So why are these topics censored by Meta, TikTok, Google, and Amazon?",squirrel,ghazi,https://lemmy.blahaj.zone/post/27432390,97
22 cis woman. trying to find AFAB's who understand me rule,calculusqu33n,196,https://lemmy.ml/post/6223405,76
just got approved for a hysterectomy!,LaunchesKayaks,chronicillness,https://lemmy.world/post/24386652,75
Word of warning to childfree endometriosis sufferers looking for a snip,maplecat,childfree,https://lemmy.world/post/7141197,71
"Endometriosis pain leads to missed school and work in two-thirds of women with the condition, new study finds",jeffw,health,https://lemmy.world/post/19751723,55
Endometriosis treatment to be subsidised by federal government as health minister says ‘women are suffering unnecessarily’,BrikoX,australia,https://lemmy.zip/post/27228200,51
Endometriosis sufferer saw 20 doctors before diagnosis,Emperor,unitedkingdom,https://feddit.uk/post/9746661,44
AstraZeneca pulls critical breast cancer and endometriosis drug Zoladex from shelves,Quokka,australia,https://quokk.au/c/australia/p/957882/astrazeneca-pulls-critical-breast-cancer-and-endometriosis-drug-zoladex-from-shelves,41
America Needs Reproductive Health Leave,cm0002,usa,https://libretechni.ca/post/1551762,33
Prolonged use of certain hormone drugs linked to increased brain tumor risk,MicroWave,health,https://lemmy.world/post/13637514,31
Abortion is becoming more common in primary care clinics as doctors challenge stigma,MicroWave,health,https://lemmy.world/post/16766270,30
America Needs Reproductive Health Leave,velma,usa,https://lemmy.blahaj.zone/post/43539526,29
"Breast cancer, endometriosis and PCOS detection tests seen as 'game-changing'",RegularJoe,health,https://lemmy.world/post/43945619,29
Endometriosis Support community,satan_6661,newcommunities,https://lemmy.world/post/278127,28
"For Some Women With Serious Physical Ailments, Mental Illness Has Become a Scapegoat Diagnosis",FundMECFSResearch,health,https://lemmy.blahaj.zone/post/23730178,25
